instnm,Institution (entity) name (HD2018),Street address or post office box (HD2018),City location of institution (HD2018),Longitude location of institution (HD2018),Latitude location of institution (HD2018),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA1718),Average net price-students awarded grant or scholarship aid  2017-18 (SFA1718),Applicants total (ADM2018),Admissions total (ADM2018),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2018),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2018),SAT Math 25th percentile score (ADM2018),SAT Math 75th percentile score (ADM2018),ACT Composite 25th percentile score (ADM2018),ACT Composite 75th percentile score (ADM2018),Student-to-faculty ratio (EF2018D),
	Educational Technical College-Recinto de Bayamon,	Educational Technical College-Recinto de Bayamon,CALLE SANTA CRUZ #28,BAYAMON,-66.151679,18.398885,73,17736,,,,,,,,,21,
A T Still University of Health Sciences,A T Still University of Health Sciences,800 W Jefferson,Kirksville,-92.589183,40.193648,,,,,,,,,,,,
Aaniiih Nakoda College,Aaniiih Nakoda College,269 Blackfeet Avenue Agency,Harlem,-108.757816,48.484196,76,,,,,,,,,,10,
ABC Adult School,ABC Adult School,12254 Cuesta Drive,Cerritos,-118.070114,33.878179,0,,,,,,,,,,4,
ABC Adult School - Cabrillo Lane,ABC Adult School - Cabrillo Lane,20122 Cabrillo Lane,Cerritos,-118.078943,33.847240,,,,,,,,,,,,
ABC Beauty Academy,ABC Beauty Academy,2109 Buckingham Rd.,Richardson,-96.685333,32.931698,55,6907,,,,,,,,,10,
ABCO Technology,ABCO Technology,11222 S. La Cienega Blvd Ste 588,Inglewood,-118.369774,33.932121,82,15241,,,,,,,,,7,
Abcott Institute,Abcott Institute,16250 Northland Drive  Suite 205,Southfield,-83.210617,42.446331,59,18100,,,,,,,,,10,
Abdill Career College Inc,Abdill Career College Inc,843 E Main Ste 203,Medford,-122.863083,42.328125,,,,,,,,,,,,
Abilene Christian University,Abilene Christian University, ,Abilene,-99.709797,32.468943,97,27584,11569,6590,530,620,510,610,21,27,15,
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,2802 Moore Hwy,Tifton,-83.528281,31.481889,68,,2389,1647,470,580,460,550,17,22,18,
Abraham Lincoln University,Abraham Lincoln University,100 West Broadway  Suite 600,Glendale,-118.256726,34.146294,2,18454,,,,,,,,,3,
Academia Serrant Inc,Academia Serrant Inc,Concordia 8180 Esq Aurora,Ponce,-66.614130,18.009587,83,5880,,,,,,,,,23,
Academy College,Academy College,1600 W. 82nd Street  Suite 100,Bloomington,-93.299809,44.855722,50,23841,,,,,,,,,10,
Academy Di Capelli-School of Cosmetology,Academy Di Capelli-School of Cosmetology,950 Yale Ave Unit 20,Wallingford,-72.806335,41.490402,67,15059,,,,,,,,,7,
Academy di Firenze,Academy di Firenze,149 West Main Street,Jerome,-114.519826,42.723871,40,7112,,,,,,,,,13,
Academy for Careers and Technology,Academy for Careers and Technology,2697 E Hwy 76,Mullins,-79.340157,34.186433,100,,,,,,,,,,10,
Academy for Five Element Acupuncture,Academy for Five Element Acupuncture,305 SE 2nd Ave,Gainesville,-82.321994,29.650075,,,,,,,,,,,,
Academy for Jewish Religion-California,Academy for Jewish Religion-California,574 Hilgard Avenue,Los Angeles,-118.438495,34.070281,,,,,,,,,,,,
Academy for Nursing and Health Occupations,Academy for Nursing and Health Occupations,5154 Okeechobee Blvd Ste 201,West Palm Beach,-80.121497,26.706530,58,21842,,,,,,,,,12,
Academy for Salon Professionals,Academy for Salon Professionals,19520 Nordhoff St. Unit 9,Northridge,-118.558215,34.233960,45,10347,,,,,,,,,13,
