,University,Address,City,Longitude,Latitude,Percent Receiving Financial Aid,Average Net Price,Total Applied,Total Admitted,SAT Reading/Writing 25th Percentile,SAT Reading/Writing 75th Percentile,SAT Math 25th Percentile,SAT Math 75th Percentile,ACT Composite 25th Percentile,ACT Composite 75th Percentile,Student-to-Faculty Ratio,Acceptance Rate,Academic Cluster,Academic Profile,Venue Cluster,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,Venue Profile
0,Abilene Christian University, ,Abilene,-99.709797,32.468942999999996,97.0,27584.0,11569.0,6590.0,530.0,620.0,510.0,610.0,21.0,27.0,15.0,56.96257239173653,1,Least Selective/Lower Scores,3,Coffee Shop,Mexican Restaurant,Hotel,American Restaurant,Deli / Bodega,Grocery Store,Fast Food Restaurant,Burger Joint,Ice Cream Shop,Movie Theater,Gym / Fitness Center,Rock Club,BBQ Joint,Donut Shop,Sandwich Place,Variety of Cuisines
1,Abraham Baldwin Agricultural College,2802 Moore Hwy,Tifton,-83.528281,31.481889000000002,68.0,,2389.0,1647.0,470.0,580.0,460.0,550.0,17.0,22.0,18.0,68.94097948932608,2,Less Selective/Lowest Scores,3,Sandwich Place,American Restaurant,Fast Food Restaurant,Mexican Restaurant,Café,Discount Store,Bakery,Grocery Store,Coffee Shop,Italian Restaurant,Tex-Mex Restaurant,Hotel,Seafood Restaurant,Pharmacy,Thai Restaurant,Variety of Cuisines
2,Adams State University,208 Edgemont Blvd,Alamosa,-105.87964199999999,37.473636,75.0,,1698.0,1675.0,440.0,550.0,430.0,530.0,17.0,22.0,12.0,98.64546525323911,2,Less Selective/Lowest Scores,2,Fast Food Restaurant,Mexican Restaurant,Pizza Place,Coffee Shop,Hotel,Department Store,Café,Mobile Phone Shop,Grocery Store,Sandwich Place,Discount Store,Construction & Landscaping,Italian Restaurant,Pharmacy,Chinese Restaurant,Fast Food
3,Adelphi University,South Ave,Garden City,-73.65332099999999,40.721439000000004,87.0,28406.0,13006.0,9648.0,540.0,630.0,540.0,640.0,22.0,27.0,12.0,74.18114716284792,0,Less Selective/Medium Scores,0,BBQ Joint,Pizza Place,Deli / Bodega,Boxing Gym,Bakery,Event Space,Sushi Restaurant,Breakfast Spot,Gym / Fitness Center,Ice Cream Shop,Bagel Shop,Bar,Basketball Court,Gym,Grocery Store,Coffee and Casual
4,Adrian College,110 S Madison St,Adrian,-84.061481,41.898590999999996,96.0,26710.0,5132.0,3326.0,470.0,580.0,470.0,576.0,19.0,26.0,14.0,64.80904130943102,1,Least Selective/Lower Scores,3,Mexican Restaurant,Ice Cream Shop,Sandwich Place,American Restaurant,Coffee Shop,Gym,Multiplex,Fast Food Restaurant,Department Store,Pizza Place,Seafood Restaurant,Bar,Park,Grocery Store,Theater,Variety of Cuisines
5,AdventHealth University,671 Winyah Drive,Orlando,-81.367687,28.576141999999997,59.0,17145.0,267.0,232.0,460.0,560.0,450.0,520.0,18.0,22.0,7.0,86.89138576779027,2,Less Selective/Lowest Scores,1,American Restaurant,Coffee Shop,Cuban Restaurant,Asian Restaurant,Theater,Vietnamese Restaurant,BBQ Joint,Park,Steakhouse,Liquor Store,Restaurant,Donut Shop,Bar,Grocery Store,Fish Market,Outdoor Attractions
6,Alabama A & M University,4900 Meridian Street,Normal,-86.568502,34.783367999999996,87.0,,9638.0,8661.0,430.0,520.0,420.0,510.0,16.0,19.0,20.0,89.86304212492219,2,Less Selective/Lowest Scores,1,Pizza Place,Brewery,American Restaurant,Cajun / Creole Restaurant,Coffee Shop,Supermarket,Mexican Restaurant,New American Restaurant,Donut Shop,Gym,Bar,Performing Arts Venue,Park,BBQ Joint,Grocery Store,Outdoor Attractions
7,Alabama State University,915 S Jackson Street,Montgomery,-86.295677,32.364317,89.0,,7783.0,7607.0,440.0,520.0,420.0,510.0,16.0,20.0,15.0,97.73866118463317,2,Less Selective/Lowest Scores,1,Pizza Place,Coffee Shop,Sandwich Place,Bar,History Museum,Deli / Bodega,American Restaurant,Grocery Store,Bakery,Mexican Restaurant,Fried Chicken Joint,Seafood Restaurant,Burger Joint,Golf Course,Park,Outdoor Attractions
8,Albany College of Pharmacy and Health Sciences,106 New Scotland Avenue,Albany,-73.779063,42.650371,96.0,29802.0,1985.0,1427.0,550.0,640.0,580.0,670.0,24.0,28.0,9.0,71.88916876574308,0,Less Selective/Medium Scores,0,Café,Pub,New American Restaurant,American Restaurant,Coffee Shop,Park,Hotel,Wine Bar,Yoga Studio,Golf Course,Sandwich Place,Beer Bar,Beer Garden,Liquor Store,Organic Grocery,Coffee and Casual
9,Albany State University,504 College Drive,Albany,-84.141825,31.56928,66.0,,4093.0,3704.0,380.0,460.0,370.0,440.0,15.0,18.0,18.0,90.49596872709505,2,Less Selective/Lowest Scores,4,Discount Store,BBQ Joint,Mexican Restaurant,American Restaurant,Pharmacy,Fried Chicken Joint,Donut Shop,Bowling Alley,Park,Sandwich Place,Theater,Bar,Gym,Theme Park Ride / Attraction,Stadium,Pizza and Dessert
10,Albertus Magnus College,700 Prospect St,New Haven,-72.92384799999999,41.332519,78.0,24652.0,1388.0,806.0,410.0,540.0,400.0,510.0,15.0,20.0,13.0,58.06916426512968,2,Less Selective/Lowest Scores,1,Pizza Place,Indian Restaurant,Sandwich Place,Deli / Bodega,Theater,American Restaurant,Bar,Cocktail Bar,Trail,French Restaurant,Chaat Place,General Entertainment,BBQ Joint,College Auditorium,Middle Eastern Restaurant,Outdoor Attractions
11,Albion College,611 E Porter St,Albion,-84.745639,42.245049,99.0,17663.0,4226.0,2884.0,510.0,630.0,500.0,610.0,20.0,26.0,11.0,68.24420255560814,1,Least Selective/Lower Scores,2,Mexican Restaurant,Sandwich Place,Fast Food Restaurant,Discount Store,Pizza Place,Gas Station,Brewery,Bus Station,Coffee Shop,Bar,Furniture / Home Store,Grocery Store,Fried Chicken Joint,Post Office,Intersection,Fast Food
12,Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,-91.142854,31.877215999999997,89.0,,4314.0,3853.0,420.0,550.0,400.0,590.0,17.0,22.0,18.0,89.3138618451553,1,Least Selective/Lower Scores,1,American Restaurant,Scenic Lookout,Coffee Shop,River,Farmers Market,Farm,Falafel Restaurant,Fair,Fabric Shop,Zoo Exhibit,Festival,Eye Doctor,Exhibit,Event Space,Event Service,Outdoor Attractions
13,Alderson Broaddus University,101 College Hill Drive,Philippi,-80.047728,39.158066999999996,98.0,19742.0,3988.0,1696.0,460.0,550.0,460.0,550.0,18.0,22.0,14.0,42.52758274824473,2,Less Selective/Lowest Scores,2,Discount Store,Fast Food Restaurant,Food & Drink Shop,Sandwich Place,Fried Chicken Joint,Airport,Business Service,Gas Station,Zoo Exhibit,Falafel Restaurant,Farmers Market,Farm,Fabric Shop,Fair,Field,Fast Food
14,Alfred University,One Saxon Drive,Alfred,-77.788106,42.254476000000004,91.0,20892.0,4296.0,2693.0,480.0,590.0,490.0,610.0,20.0,27.0,11.0,62.68621973929237,1,Least Selective/Lower Scores,4,Pizza Place,Diner,Japanese Restaurant,Chinese Restaurant,Bar,Sandwich Place,Fast Food Restaurant,Discount Store,Café,Park,Ice Cream Shop,Post Office,Flea Market,Event Service,Event Space,Pizza and Dessert
15,Alice Lloyd College,100 Purpose Rd,Pippa Passes,-82.875068,37.335087,98.0,15120.0,4720.0,1311.0,440.0,590.0,430.0,440.0,18.0,23.0,17.0,27.775423728813557,2,Less Selective/Lowest Scores,2,Post Office,Discount Store,Shopping Mall,Grocery Store,Ice Cream Shop,Sandwich Place,Business Service,Fast Food Restaurant,Fabric Shop,Farm,Falafel Restaurant,Fair,Zoo Exhibit,Eye Doctor,Exhibit,Fast Food
16,Allegheny College,520 N Main St,Meadville,-80.14716800000001,41.64869,99.0,25880.0,5479.0,3485.0,560.0,680.0,560.0,660.0,24.0,30.0,10.0,63.606497536046724,0,Less Selective/Medium Scores,4,Bar,Gas Station,Brewery,American Restaurant,Pharmacy,Fast Food Restaurant,Discount Store,Sandwich Place,Pub,Liquor Store,Lake,College Gym,Breakfast Spot,Bank,Burger Joint,Pizza and Dessert
17,Alma College,614 W Superior,Alma,-84.672053,43.38004,97.0,22830.0,4765.0,3055.0,520.0,620.0,520.0,600.0,20.0,26.0,12.0,64.11332633788038,1,Least Selective/Lower Scores,4,Pizza Place,Sandwich Place,Discount Store,American Restaurant,Coffee Shop,Fast Food Restaurant,Gas Station,Pharmacy,Dessert Shop,Department Store,Bar,Hardware Store,Farm,Mexican Restaurant,Supermarket,Pizza and Dessert
18,Alvernia University,400 Saint Bernardine St,Reading,-75.93675400000001,40.310028,84.0,26891.0,2628.0,1797.0,480.0,570.0,470.0,560.0,17.0,23.0,12.0,68.37899543378995,2,Less Selective/Lowest Scores,3,Ice Cream Shop,Brewery,Mexican Restaurant,Italian Restaurant,Sandwich Place,Farmers Market,Convenience Store,Grocery Store,Beer Store,Hotel,Coffee Shop,Latin American Restaurant,Toy / Game Store,Bar,Lingerie Store,Variety of Cuisines
19,American International College,1000 State Street,Springfield,-72.558338,42.112346,97.0,21201.0,2411.0,1649.0,460.0,560.0,460.0,540.0,16.0,22.0,16.0,68.3948569058482,2,Less Selective/Lowest Scores,0,American Restaurant,Italian Restaurant,Sandwich Place,Park,Pizza Place,Grocery Store,Bagel Shop,Bakery,Halal Restaurant,Gym / Fitness Center,Café,Gym,Liquor Store,Beer Store,Mexican Restaurant,Coffee and Casual
20,American University,4400 Massachusetts Ave NW,Washington,-77.088875,38.936005,56.0,33034.0,18984.0,5988.0,630.0,700.0,590.0,680.0,27.0,31.0,12.0,31.542351453855876,0,Less Selective/Medium Scores,0,Seafood Restaurant,Italian Restaurant,Ice Cream Shop,French Restaurant,Trail,Falafel Restaurant,Bakery,Pizza Place,Park,Mediterranean Restaurant,Grocery Store,Café,Coffee Shop,Hotel,Bookstore,Coffee and Casual
21,Amherst College,Boltwood Avenue,Amherst,-72.518493,42.372459,60.0,19275.0,9723.0,1246.0,660.0,750.0,670.0,780.0,31.0,34.0,7.0,12.814974802015838,3,Most Selective/Highest Scores,1,Coffee Shop,Grocery Store,Ice Cream Shop,Diner,Movie Theater,Breakfast Spot,Bookstore,Sandwich Place,College Cafeteria,Bakery,Liquor Store,Café,Burrito Place,College Arts Building,College Basketball Court,Outdoor Attractions
22,Ancilla College,9601 S. Union Road,Donaldson,-86.445263,41.337958,89.0,14535.0,1296.0,897.0,410.0,500.0,400.0,510.0,15.0,20.0,12.0,69.21296296296296,2,Less Selective/Lowest Scores,0,Lake,Cocktail Bar,Gas Station,Campground,Golf Course,Resort,RV Park,Construction & Landscaping,Event Space,Exhibit,Eye Doctor,Fabric Shop,Field,Fair,Falafel Restaurant,Coffee and Casual
23,Anderson University,1100 E 5th St,Anderson,-85.664315,40.112768,94.0,23787.0,3834.0,2493.0,500.0,590.0,500.0,570.0,19.0,25.0,10.0,65.02347417840375,1,Least Selective/Lower Scores,3,American Restaurant,Mexican Restaurant,Pizza Place,Grocery Store,Fast Food Restaurant,Ice Cream Shop,Sandwich Place,Convenience Store,Hot Dog Joint,Gym,Bakery,Bar,Coffee Shop,Seafood Restaurant,Breakfast Spot,Variety of Cuisines
24,Anderson University,316 Boulevard,Anderson,-82.64035799999999,34.5152,86.0,21641.0,3325.0,2071.0,540.0,640.0,418.0,635.0,20.0,26.0,15.0,62.28571428571429,0,Less Selective/Medium Scores,3,American Restaurant,Mexican Restaurant,Pizza Place,Grocery Store,Fast Food Restaurant,Ice Cream Shop,Sandwich Place,Convenience Store,Hot Dog Joint,Gym,Bakery,Bar,Coffee Shop,Seafood Restaurant,Breakfast Spot,Variety of Cuisines
